Al,Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ti,Zr,Sc,Other,homog_temp_max_C,homog_time_total_s,recryst_temp_max_C,recryst_time_total_s,Cold rolling reduction (percentage),Hot rolling reduction (percentage),adequate_homog,adequate_recryst,Mean grain size (µm),YS (MPa),UTS (MPa),Fracture EL (percentage),Uniform EL (percentage),YPE (percentage),mixup_lambda,source_idx_a,source_idx_b,source_similarity
96.59237128330948,0.04739517579914844,0.19010111249171313,0.0,0.2476767363723254,2.9170437214626768,0.00015439781124133162,1e-08,0.0,0.005257542753423476,0.0,1e-08,1e-08,540.0,18000.0,340.00000000000006,7200.0,40.87454011884737,99.6,1.0,1.0,26.393295929950497,73.8940289048112,227.61511500527746,28.929338297792288,,0.33188712104512463,0.1749080237694725,35.0,54.0,1.0
94.31074494037425,0.03776460951341679,0.10410083689157835,0.005034652976517239,0.48704129881614494,5.047364809026495,0.002691279648171811,1e-08,0.0,0.005257542753423476,0.0,1e-08,1e-08,540.0,19423.277851420804,350.0,5755.898430446404,68.23330496481603,91.21847487496639,1.0,1.0,9.191545608981777,164.42801891638285,308.03792373919276,24.22812443060083,20.0,,0.20929008254399953,114.0,219.0,0.47980583858198433
96.96504802979571,0.07675880262098775,0.17691028334899422,0.0,0.1710259226147444,2.6097741963773444,0.00015439781124133162,1e-08,0.0,0.00032833743097788765,0.0,1e-08,1e-08,520.0,19800.0,325.1679362618631,7200.0,79.13867728968948,99.0,1.0,1.0,9.26715407541649,120.16936787123296,220.3793033187341,23.666436353076943,,,0.8277354579378964,275.0,277.0,0.7021709129604441
94.22983712329629,0.2686284727923134,0.38539501037958845,0.1,0.3433319586325205,4.667395464334621,0.00015439781124133162,1e-08,0.0,0.005257542753423476,0.0,1e-08,1e-08,490.0,179063.47203256295,426.5452336273046,2164.620992537653,63.0,93.8,0.0,1.0,11.767375220110262,161.09691929215717,326.81397794412135,23.146576688559627,,0.9126866266866525,0.5650366644053494,178.0,154.0,0.35048930396363387
96.43492301878747,0.04180465133354349,0.1936911693351665,0.0,0.26130886183003876,3.0628603281491094,0.00015439781124133162,1e-08,0.0,0.005257542753423476,0.0,1e-08,1e-08,540.0,18000.0,340.0,7200.0,21.633922935213405,99.6,1.0,1.0,36.900116181703105,64.67503795190878,220.2278397620923,24.415110996981305,,0.04464714929449519,0.5457596330983244,34.0,33.0,1.0
94.58361718499185,0.09901845158169532,0.2718249135202394,0.04331123989898393,0.3500384129217696,4.646777826520794,0.00015439781124133162,1e-08,0.0,0.005257542753423476,0.0,1e-08,1e-08,540.0,18000.0,340.0,7200.0,49.96146345736735,99.6,1.0,1.0,12.840677986077072,153.11929823897654,301.81048039471887,25.23087681286297,,0.892864224470053,0.6675230342807256,74.0,41.0,1.0
97.40097170547425,0.15701205168291738,0.18475894365370704,0.0,0.017525348020328013,2.2351897062196797,0.00015439781124133162,1e-08,0.0,0.00438781713787317,0.0,1e-08,1e-08,524.1177831327193,18317.59807222107,335.0023132562273,7200.0,74.11778313271925,99.32942265061754,1.0,0.0,40.48917419427519,69.57967543739673,152.1490617855348,18.0,,1.5,0.8235566265438506,280.0,22.0,0.4048380937845927
94.92744392405476,0.0,0.22879317661329163,0.055872024723578564,0.3161336463722319,4.456042095977528,0.010457559505191037,1e-08,0.0,0.005257542753423476,0.0,1e-08,1e-08,540.0,18000.0,400.0,141.0,22.475,99.55499999999999,1.0,1.0,22.95876857687379,121.37352969931244,239.540791417251,23.131576591276307,,0.8,0.15,239.0,89.0,0.6758994439534906
94.79770608436527,0.018762292814726855,0.19980618288717708,0.023982814631378954,0.333899933733769,4.610365232013905,0.010219886800340243,1e-08,0.0,0.005257542753423476,0.0,1e-08,1e-08,537.4558837785078,19831.76367947438,408.48038740497395,760.058498500221,16.872542366963593,98.31098111444395,1.0,1.0,16.63903918967062,136.05430844179472,326.1380689137579,23.905025180888444,,,0.8303922519005201,98.0,228.0,0.46338734204485876
94.87549230568946,0.0,0.2307421903058179,0.04084129986686214,0.33445315680692134,4.500937710067509,0.01227576451000569,1e-08,0.0,0.005257542753423476,0.0,1e-08,1e-08,540.0,18000.0,350.0,570.4746767589345,11.994725813789618,99.6,1.0,1.0,0.0,133.12223090870103,272.7879965325556,19.86723080291592,,,0.3005274186210384,214.0,226.0,1.0
97.39517992414515,0.08908268194665539,0.5,0.0,0.01032543546490794,2.0,0.00015438568986251254,9.999999999999999e-09,0.0,0.005257542753423476,0.0,9.999999999999999e-09,9.999999999999999e-09,540.0,18000.0,308.20061170089366,7199.999999999999,74.17993882991064,99.06560489360714,1.0,1.0,24.16316997510207,78.85851841010603,162.45998774522482,24.519755549023245,22.067779994120922,0.0,0.164012234017873,120.0,192.0,0.34679687151670996
96.13316913851104,0.03090533073372367,0.2255640228455123,0.0,0.27098767370476246,3.330739464543679,0.00015439781124133162,1e-08,0.0024031627847412793,0.006076779065301252,0.0,1e-08,1e-08,540.0,18000.0,350.0,7200.0,59.42093288277491,95.24554731095103,1.0,1.0,17.93931236491175,110.97341282363757,225.52271789208308,20.57741865206041,18.51967678685437,1.4148741540034442,0.6675990313703071,316.0,0.0,0.520609296807446
95.08953495013051,0.0,0.22746670699280683,0.04540223072455357,0.3438626664460208,4.2762001084426835,0.01227576451000569,1e-08,0.0,0.005257542753423476,0.0,1e-08,1e-08,540.0,18000.0,350.0,4021.141575444039,42.73908666277338,99.54452182667444,1.0,1.0,19.5742569894359,163.42608910880986,274.3329265617174,25.58023386190678,23.4,,0.44521826674453235,206.0,212.0,1.0
94.61006002126987,0.10188417743624886,0.21012939007037928,0.0,0.5175242049720967,4.554990247808114,0.00015438568986251254,1e-08,0.0,0.005257542753423476,0.0,1e-08,1e-08,525.0,25015.098937322502,532.4773098950116,3600.0,75.0,94.5933581355383,1.0,1.0,6.58498137523596,174.42946611946272,313.41649292104773,20.4557577930187,,,0.6495461979002315,20.0,100.0,0.43444683548745094
96.7475452749737,0.1061322764570709,0.18657985785011932,0.0,0.548172901663634,2.4103475430148915,0.00015439781124133162,1e-08,0.0,0.0010677182293447251,0.0,1e-08,1e-08,521.5,19800.0,327.5,6660.0,62.5,98.21999999999998,1.0,1.0,13.171533835400506,119.17161853971965,261.61602945875757,21.009705571117937,,0.0,0.15,272.0,147.0,0.4577032987183417
94.49863267455092,0.10347176710813172,0.24324389092500182,0.04123450400286875,0.36329498502999874,4.744710207818411,0.00015439781124133162,1e-08,0.0,0.005257542753423476,0.0,1e-08,1e-08,540.0,18000.0,340.0,7200.0,58.18617548588661,99.6,1.0,1.0,13.583532960797859,148.28068495234274,281.68236240548913,22.778385183497303,,1.1899535306044482,0.7046543871471652,38.0,75.0,1.0
94.10227329972155,0.17348029796795206,0.21810213456919056,0.029939768838154086,0.34061855271718544,5.130173975621303,0.00015439781124133162,1e-08,0.0,0.005257542753423475,0.0,1e-08,1e-08,534.501742135583,18989.68641559506,356.494773593251,5220.627168809878,43.409059105031574,96.41101043863813,1.0,1.0,43.92007683512906,131.59474609085302,233.03540031287588,21.197839160564588,,0.729857807666019,0.4501742135582995,149.0,78.0,0.5312468063941418
